"","Asian-Americans","Hispanics","Blacks","Illegal Immigrants","Whites","Dem. Pres. Candidate","GOP Pres. Candidate","Libertarian Pres. Candidate","Green Pres. Candidate","Dem. VP","GOP VP","John Roberts","Pope Francis","Christian Fundamentalists","Feminists","Liberals","Labor Unions","Poor People","Big Business","Conservatives","SCOTUS","Gays & Lesbians","Congress","Rich People","Muslims","Christians","Jews","Tea Party","Police","Transgender People","Scientists","BLM"
"5",85,85,85,50,85,30,15,40,70,50,40,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15
"6",50,50,50,25,50,0,65,50,50,30,80,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0
"8",85,100,85,40,100,15,85,15,50,30,85,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15
"9",70,85,60,0,100,0,70,50,50,15,60,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15
"13",100,100,100,85,100,40,40,50,50,50,15,85,85,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70
"14",60,60,85,15,85,0,100,50,50,0,85,85,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0
"17",85,85,70,70,70,85,15,40,70,85,30,60,85,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85
"19",100,100,100,85,85,85,0,50,70,70,0,40,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100
"29",100,100,100,100,90,85,0,40,50,85,30,30,60,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85
"33",100,100,100,85,100,0,100,50,50,15,85,50,50,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50
"34",60,60,60,60,60,0,100,15,15,0,100,60,85,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0
"36",50,60,50,30,60,60,15,40,50,50,15,70,85,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40
"39",50,70,60,50,70,70,85,50,50,60,50,50,50,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70
"43",85,85,85,0,85,100,0,0,0,100,0,0,100,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100
"44",50,60,85,0,100,0,100,0,50,0,100,85,100,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0
"45",80,80,80,15,80,0,60,50,50,10,80,50,70,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2
"46",70,70,70,60,70,85,0,50,50,100,0,50,85,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70
"47",85,100,50,100,85,30,15,50,50,50,50,50,100,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50
"48",70,85,40,0,70,0,70,50,50,40,85,60,50,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15
"57",0,0,0,0,0,85,60,30,70,85,60,100,15,85,100,60,0,0,70,15,60,40,100,100,50,85,30,85,40,50,15,50
"59",85,85,85,70,85,70,15,40,50,70,50,50,70,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70
"62",50,50,70,50,70,100,50,50,50,50,50,50,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75
"67",100,85,100,85,85,85,15,40,40,85,15,30,70,15,85,85,70,85,50,40,70,100,40,40,85,70,85,40,85,100,85,85
"70",85,85,75,75,85,70,10,40,40,60,15,50,85,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85
"71",50,50,40,50,50,85,0,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50
"72",50,50,70,60,60,70,30,50,50,70,50,50,85,50,60,70,50,85,15,60,85,0,60,50,50,70,50,0,85,0,100,60
"74",100,100,85,100,85,70,0,50,60,40,0,60,85,30,100,100,70,100,30,30,40,100,50,50,100,50,100,60,85,100,100,100
"77",50,50,50,0,50,15,85,60,50,50,85,50,60,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85
"78",90,85,90,60,65,50,40,40,70,30,0,100,85,15,85,60,60,100,30,85,70,85,60,50,85,70,85,15,85,100,70,70
"83",30,70,70,50,70,50,0,50,60,60,15,70,70,60,40,60,70,70,30,60,70,30,50,40,70,70,70,50,50,15,70,60
"87",85,85,85,60,85,30,0,60,50,70,60,50,100,50,60,70,30,70,30,50,60,85,15,50,60,100,85,40,85,85,85,70
"88",85,85,85,40,85,15,60,40,85,40,60,40,40,70,40,60,70,85,40,60,70,85,40,70,70,85,85,70,70,85,70,40
"89",100,100,70,50,100,0,100,60,40,40,85,85,100,70,60,40,50,50,85,70,85,50,50,100,50,100,100,70,70,50,60,30
"94",50,50,50,50,85,100,30,50,50,50,40,50,50,100,50,100,50,50,50,40,50,85,50,85,50,100,50,15,100,50,100,50
"96",50,70,70,40,70,60,50,30,50,60,50,50,70,50,50,60,30,70,40,60,60,50,40,50,50,70,60,50,70,40,70,50
"101",85,85,85,60,85,100,15,40,40,50,70,50,50,30,70,70,60,60,40,30,60,70,40,40,60,50,70,15,60,70,70,40
"104",100,100,100,80,100,95,0,45,95,95,0,50,100,35,95,90,50,100,15,40,60,100,65,50,100,50,80,0,95,100,100,95
"108",85,85,85,40,85,85,0,50,50,60,15,50,85,40,85,70,85,85,70,60,70,85,50,70,70,70,85,40,85,85,85,85
"110",50,85,50,70,50,40,40,70,50,70,40,50,70,70,30,30,60,60,50,60,70,15,60,50,50,100,50,40,100,15,50,70
"112",50,70,60,70,85,40,70,40,40,50,60,50,100,70,60,70,60,70,60,60,60,50,40,60,60,85,85,70,70,50,85,50
"113",50,40,50,15,70,15,50,50,50,50,60,70,70,40,50,30,30,60,40,60,60,50,30,50,40,85,50,15,60,50,70,30
"114",50,70,50,50,50,50,50,50,50,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,60,50,50,50,50,60,50
"118",70,70,70,70,70,85,15,40,70,60,30,50,40,50,85,70,100,100,70,60,85,85,70,85,85,85,85,50,100,70,100,85
"123",70,70,60,30,70,15,60,70,40,50,50,60,60,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50
"125",70,60,60,0,85,0,85,30,0,0,85,60,15,70,0,0,40,50,70,85,60,0,40,60,0,85,85,70,100,0,60,0
"127",70,70,70,60,70,70,0,60,30,85,0,60,85,30,100,100,70,85,60,40,85,100,40,100,100,100,100,30,85,85,100,100
"130",50,50,50,0,50,0,85,50,0,30,50,50,50,85,0,15,40,70,70,70,85,50,60,70,0,85,85,40,85,50,50,70
"135",70,100,80,70,70,15,15,0,50,50,0,70,50,0,60,100,100,85,0,0,100,50,50,0,85,0,100,0,50,70,100,85
"136",100,100,100,85,100,60,30,50,50,60,60,70,100,60,70,70,70,100,60,60,85,85,60,40,60,70,60,50,70,70,100,100
"139",85,85,85,40,100,0,85,50,50,85,85,70,60,100,50,50,30,100,70,100,60,50,70,100,30,100,100,85,100,60,70,50
"150",50,50,40,0,50,60,30,50,40,60,15,40,15,15,40,50,50,50,40,40,50,50,15,15,30,60,50,0,30,50,85,0
"152",10,10,10,60,10,85,0,50,50,70,15,30,50,0,100,100,30,100,50,70,70,100,30,70,85,85,100,30,100,100,100,85
"155",60,60,60,40,60,60,15,50,85,70,15,40,50,15,60,70,60,60,30,40,40,50,30,40,50,50,50,15,70,50,85,60
"156",100,85,85,40,100,0,100,50,15,40,100,50,85,50,40,40,40,70,50,70,60,85,40,70,70,85,100,60,85,85,85,0
"158",50,50,50,15,50,70,70,50,50,0,60,50,50,70,60,70,60,70,15,40,70,50,15,70,0,70,70,0,15,50,85,0
"160",85,85,50,15,50,0,85,0,30,30,100,50,85,50,85,15,0,85,60,85,70,85,0,70,70,85,85,85,100,85,70,30
"164",100,100,100,100,100,40,30,15,30,50,0,50,60,30,70,70,50,100,40,60,60,100,15,40,70,85,85,0,60,100,100,70
"167",50,50,50,0,60,50,60,50,50,50,15,50,85,50,50,50,30,50,30,50,50,50,30,0,50,50,50,50,85,50,70,0
"168",100,100,100,0,100,15,85,50,0,15,100,60,85,70,50,40,50,100,70,85,70,40,30,50,50,100,100,85,100,40,85,0
"172",50,60,50,15,60,0,70,50,40,0,70,40,50,50,15,0,40,50,30,60,15,50,15,50,30,50,50,30,15,50,50,0
"173",40,15,40,30,85,40,85,60,70,60,85,70,85,70,50,40,70,50,60,60,85,30,70,60,15,70,50,50,100,50,85,50
"174",50,50,50,40,50,0,0,40,60,40,30,50,50,70,50,15,60,70,40,15,40,50,50,70,50,50,50,40,60,50,60,50
"175",85,85,85,85,85,70,0,50,70,50,15,70,50,40,85,85,70,85,60,60,70,85,40,70,85,85,100,30,85,85,85,85
"176",85,85,70,30,85,50,60,50,50,50,60,50,70,50,60,60,50,70,50,60,85,40,70,40,60,60,50,50,100,50,85,7
"182",50,70,60,50,100,50,40,50,70,50,60,60,50,50,50,60,85,70,50,70,70,70,70,50,50,100,70,50,100,50,50,85
"183",100,100,100,50,100,40,70,40,40,50,50,50,85,40,40,60,60,100,70,40,60,50,50,30,100,85,100,15,60,100,100,30
"185",60,70,85,70,70,85,50,50,50,50,50,50,50,100,85,50,85,100,50,70,50,50,50,50,60,100,100,50,70,50,70,100
"190",70,70,70,50,70,30,75,40,40,40,75,50,80,55,60,60,55,85,70,75,55,60,30,65,60,95,80,80,70,50,85,30
"192",70,70,70,15,70,15,40,60,50,40,50,50,40,30,30,30,30,40,60,70,70,85,40,40,30,60,85,60,70,40,100,0
"194",50,50,50,50,50,70,15,50,85,70,0,50,100,15,70,85,70,70,30,30,70,85,50,40,85,70,50,15,70,100,100,100
"199",100,85,30,30,85,85,30,60,40,50,15,50,85,0,85,85,60,60,15,15,40,85,30,40,30,40,70,15,70,85,70,70
"201",50,60,70,0,100,0,85,50,50,50,100,60,60,100,40,0,40,85,60,100,70,0,40,60,50,100,70,100,100,15,50,0
"202",100,50,50,0,85,15,100,50,0,15,85,50,15,85,15,15,15,50,85,100,50,0,50,85,15,85,85,85,85,0,85,0
"204",30,70,70,10,70,30,60,85,60,30,30,70,100,15,60,15,60,15,85,15,70,70,0,40,50,85,60,0,15,60,90,15
"205",70,70,70,70,70,0,30,15,15,15,100,100,15,100,15,0,15,85,60,60,60,50,60,60,40,100,100,60,100,50,50,0
"206",85,85,85,15,85,15,85,15,15,15,85,60,100,50,15,30,15,50,50,60,70,50,30,50,50,50,50,60,85,50,50,15
"207",60,60,40,40,60,30,70,50,40,50,50,60,85,40,40,60,70,50,60,40,60,50,40,50,50,85,70,50,85,50,70,60
"208",40,30,15,0,100,40,15,50,40,60,15,70,100,50,50,40,30,50,50,70,70,50,30,50,50,50,50,0,70,50,85,50
"209",85,85,85,50,85,100,50,50,70,100,70,70,100,100,100,85,100,100,100,100,100,0,100,85,50,100,100,50,100,0,100,100
"210",85,85,100,60,85,50,50,85,50,60,50,60,50,100,60,85,60,70,70,60,70,85,85,50,85,100,85,70,100,85,85,85
"211",50,50,50,85,50,85,0,15,0,85,0,40,100,70,70,70,85,85,15,15,85,85,30,50,85,85,85,0,85,85,70,85
"213",85,85,85,70,85,100,0,0,0,85,0,60,40,0,100,85,85,100,40,0,70,85,15,30,60,40,70,0,70,70,100,85
"214",70,70,70,30,50,0,0,30,0,30,100,70,100,60,85,30,15,70,70,85,100,40,15,70,85,100,100,30,100,50,100,60
"216",100,100,100,70,100,30,15,70,50,50,50,60,50,60,30,40,60,70,60,60,70,30,40,50,50,85,70,50,70,30,60,40
"217",50,50,50,15,50,0,85,50,15,15,100,85,70,60,40,15,30,85,50,85,70,50,70,70,40,85,60,60,85,50,70,15
"219",85,85,60,50,70,30,70,50,60,50,85,50,100,70,50,40,30,60,70,70,60,50,40,50,40,60,50,40,85,40,70,30
"225",85,85,85,15,70,0,85,50,50,50,100,30,50,70,50,15,30,85,50,85,70,50,40,50,40,100,70,85,85,50,50,30
"227",70,50,60,50,70,0,70,30,50,40,85,50,50,100,85,30,0,85,15,85,60,50,40,60,50,85,100,85,70,50,70,60
"231",70,85,100,40,85,60,0,50,50,50,60,50,85,85,30,50,70,85,70,60,60,0,60,50,0,100,85,60,70,0,70,70
"232",100,100,100,60,100,70,0,70,70,70,15,85,100,15,70,85,60,100,0,40,60,85,40,50,85,85,85,0,60,85,85,85
"235",100,85,85,0,85,0,70,50,50,40,60,50,70,70,30,30,30,85,50,60,60,50,40,50,85,100,85,70,85,15,70,0
"236",60,60,60,50,50,60,30,40,40,50,60,70,70,40,50,60,30,60,40,50,60,70,40,40,60,60,70,30,70,70,60,50
"240",85,85,85,0,85,0,100,30,15,0,100,85,50,100,0,0,30,100,100,100,70,0,15,100,15,100,100,100,100,0,85,0
"241",85,60,85,15,85,60,85,50,50,50,60,50,85,60,60,60,70,85,100,60,60,85,30,60,50,85,100,50,85,70,70,85
"244",70,70,70,50,70,50,30,50,40,50,30,50,40,70,60,60,60,70,50,40,85,50,50,50,60,60,60,50,85,50,85,50
"247",100,100,85,50,50,100,0,50,70,50,50,50,50,60,70,60,60,100,60,40,70,100,50,50,85,85,100,85,100,100,70,100
"249",100,100,100,100,60,70,0,100,60,30,0,30,70,40,100,70,60,100,30,0,40,100,40,50,100,70,100,50,40,100,100,100
"258",85,85,85,70,85,100,15,15,15,85,15,50,100,40,100,85,50,85,40,40,85,85,70,50,70,85,85,30,85,85,85,85
"262",60,60,85,60,60,85,100,50,60,50,100,60,60,85,50,50,70,100,85,50,85,50,70,100,50,85,85,50,85,50,85,50
"263",85,85,70,70,70,50,0,50,50,50,50,60,85,85,85,85,85,85,30,60,70,70,40,40,85,100,85,30,85,50,100,40
"267",50,85,50,50,100,50,0,50,50,50,50,50,50,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,0,50,50,50
"269",50,50,100,30,50,85,50,50,50,50,50,50,50,50,50,50,50,85,50,50,50,60,50,50,50,85,50,50,85,60,50,100
"272",70,15,50,0,100,15,100,30,50,60,85,50,100,85,50,50,60,100,50,50,60,0,70,50,0,100,50,0,100,50,70,50
"274",100,100,100,0,100,85,40,50,50,50,50,70,70,70,100,70,85,70,85,85,85,50,85,50,50,85,50,70,85,50,85,100
"276",100,100,85,50,30,70,0,50,60,30,50,50,100,85,85,85,60,100,30,40,50,100,50,30,100,100,100,50,60,100,100,85
"278",70,70,70,30,70,15,85,30,0,50,85,85,100,50,30,30,60,85,70,60,70,50,30,70,60,100,85,40,100,40,85,30
"281",85,100,85,85,70,60,0,50,50,50,30,50,70,30,70,70,60,70,50,40,40,70,40,50,70,60,70,30,70,70,60,70
"282",50,50,50,40,50,15,85,50,40,40,85,50,50,70,50,15,70,60,60,85,50,50,40,60,50,85,60,85,85,50,50,15
"283",85,85,85,60,85,15,85,50,15,15,70,50,100,85,60,85,70,85,50,70,50,85,50,70,85,85,85,50,85,85,85,60
"293",60,60,70,50,70,70,50,50,60,50,50,60,85,85,50,50,85,70,70,50,70,50,85,50,50,85,50,70,85,50,85,70
"295",70,70,70,15,70,15,30,50,50,40,40,50,50,60,60,50,50,85,35,50,50,100,50,50,85,70,90,40,70,100,100,70
"298",70,70,85,60,85,70,30,40,70,60,15,50,85,50,70,60,50,70,60,40,50,70,50,70,85,60,70,50,70,60,85,85
"300",100,100,100,100,70,100,0,40,70,100,0,0,100,60,70,100,100,100,60,50,60,50,30,50,85,70,85,0,85,50,100,100
"301",50,50,50,40,50,15,70,85,60,30,40,40,50,50,30,30,85,70,15,85,40,50,15,40,50,100,30,30,0,50,85,50
"304",85,85,85,40,85,40,60,100,40,40,60,50,60,50,50,50,60,70,60,50,50,70,50,50,70,70,70,50,70,70,85,40
"310",60,40,60,40,60,0,85,50,40,50,50,50,100,40,100,60,70,60,40,60,60,50,40,85,50,70,70,40,70,50,100,30
"311",100,100,100,50,100,85,0,50,50,50,50,50,50,50,50,50,50,85,60,50,50,50,50,85,50,100,50,50,15,50,70,100
"314",50,50,50,40,100,0,100,50,0,0,100,50,50,100,0,0,50,85,50,100,100,50,30,85,60,100,100,40,100,60,100,0
"316",85,100,50,40,85,15,85,50,40,15,100,40,100,70,50,0,40,85,70,85,40,50,70,70,40,100,100,60,85,40,60,0
"318",100,100,100,60,100,50,100,70,50,60,60,65,100,85,62,30,100,100,42,81,85,60,87,70,70,100,100,50,100,50,93,100
"319",85,85,85,85,70,60,0,30,50,60,85,50,85,70,85,70,85,85,60,70,85,85,60,85,85,85,85,70,85,70,100,85
"321",15,60,60,0,70,70,0,30,15,60,0,70,70,0,40,60,0,100,60,0,70,100,40,60,40,100,100,0,70,100,70,30
"324",85,85,85,85,85,60,15,40,50,60,30,60,60,30,85,70,50,85,30,85,70,85,15,60,85,85,85,15,40,85,100,60
"327",85,100,85,30,70,15,85,50,50,15,85,30,30,70,40,30,30,70,60,70,30,40,40,70,30,70,70,85,85,40,70,40
"330",85,85,85,40,70,50,15,40,40,40,15,50,60,30,70,70,60,60,40,40,40,85,40,50,70,50,85,15,40,85,85,60
"338",50,50,50,40,50,70,0,15,50,60,0,15,70,15,50,60,50,50,30,30,30,85,15,50,70,50,70,0,85,70,50,50
"341",50,50,50,40,50,60,30,30,50,60,50,30,70,30,60,60,50,70,50,30,60,50,50,50,50,50,50,40,60,50,50,60
"348",70,80,70,0,80,30,70,50,50,50,100,50,60,60,60,30,50,70,70,100,30,60,30,50,50,85,70,70,100,60,50,15
"352",100,85,100,0,85,15,30,50,50,15,30,70,100,0,50,60,40,85,70,70,85,70,15,85,70,100,100,50,100,85,100,15
"354",85,85,85,40,85,50,50,40,50,50,15,50,100,40,70,70,60,50,40,50,60,85,40,50,60,85,85,30,85,85,70,60
"355",100,100,100,15,100,40,70,30,15,40,85,60,70,85,0,15,0,100,85,85,85,60,60,100,85,100,85,85,100,70,85,40
"356",50,50,50,0,50,0,40,50,15,15,85,70,100,50,40,30,15,50,40,60,60,50,40,50,50,60,50,40,100,50,50,0
"358",100,100,100,0,100,70,60,50,50,70,60,50,100,60,70,50,100,100,100,60,100,100,100,50,50,100,100,60,60,100,100,70
"363",100,100,100,40,100,15,70,15,0,30,85,70,70,100,70,40,60,100,70,70,70,60,30,85,70,100,85,15,100,50,70,50
"364",85,85,85,70,70,85,0,15,85,70,0,50,85,15,100,100,85,85,15,15,70,100,15,30,85,70,100,0,70,100,100,100
"366",40,50,50,0,50,40,40,50,50,5,50,50,50,85,30,50,50,50,50,50,60,100,50,50,85,100,70,50,100,100,85,50
"367",70,70,70,70,70,30,15,50,60,50,50,50,70,15,70,70,50,85,30,40,60,100,40,50,85,100,100,30,85,100,85,85
"368",85,70,85,50,70,30,15,50,50,50,40,50,40,40,50,50,70,50,30,60,40,50,30,50,40,40,50,15,30,50,70,60
"369",85,85,85,40,85,70,40,50,60,60,40,50,100,60,70,40,70,70,60,70,60,60,60,60,30,85,70,40,85,50,70,60
"371",70,60,60,0,70,0,85,30,50,30,70,40,15,40,15,15,30,50,60,85,70,60,15,50,30,70,60,85,60,60,50,0
"375",80,60,100,20,50,100,30,70,40,50,50,60,60,70,40,70,50,100,70,60,85,30,50,50,60,85,40,5,85,60,100,100
"377",100,100,100,60,40,85,0,50,60,85,0,50,60,0,100,85,100,85,30,30,85,100,30,50,100,60,100,0,40,100,100,100
"379",100,100,100,100,100,85,0,50,30,60,0,50,85,30,100,85,70,100,85,70,100,100,15,100,100,100,100,30,85,100,100,85
"380",70,70,70,0,70,0,85,70,0,15,85,85,50,85,15,40,0,60,40,85,30,50,40,50,60,85,100,85,100,40,50,0
"384",50,60,60,40,70,85,30,15,30,85,50,60,100,40,50,70,70,60,40,30,40,60,30,50,60,85,60,50,70,60,85,50
"385",85,60,85,30,100,0,85,50,50,15,85,50,85,100,60,0,30,85,85,100,85,0,70,85,40,100,85,85,100,40,70,70
"387",70,70,85,40,85,70,30,60,30,60,30,50,85,15,85,70,70,60,50,40,60,85,60,60,85,70,85,15,85,85,85,85
"388",50,50,50,30,50,0,60,30,0,15,85,40,100,50,50,40,30,50,50,50,50,50,15,50,40,50,100,40,85,50,50,0
"391",85,40,50,40,70,40,70,50,30,40,85,50,50,50,60,40,30,60,40,60,40,50,50,40,40,70,50,50,70,50,70,30
"392",50,50,50,30,50,0,100,30,30,15,85,70,100,50,50,50,40,50,50,50,60,50,40,50,50,50,50,50,85,50,70,0
"395",85,85,85,40,85,100,0,50,50,85,70,85,100,50,100,60,70,100,60,30,85,70,50,50,85,100,100,30,100,70,85,100
"396",70,70,40,40,70,0,100,50,50,50,100,50,40,50,50,40,30,85,60,100,30,85,30,85,50,100,100,50,100,50,60,15
"398",50,60,50,15,50,30,60,55,50,40,70,50,50,40,35,50,15,60,75,50,75,50,30,50,50,50,50,45,70,50,85,15
"400",70,70,30,30,85,15,85,3,50,15,40,50,85,50,40,30,85,50,60,60,60,60,70,70,40,70,50,50,85,60,60,30
"402",50,100,50,85,50,70,30,50,50,70,50,50,50,50,60,85,70,100,50,30,60,100,40,50,85,100,85,30,100,100,85,70
"403",60,85,60,60,60,70,0,50,50,50,0,50,70,50,50,50,60,50,40,15,50,50,50,50,50,50,50,30,50,50,70,60
"408",70,70,60,70,70,60,40,50,50,50,60,50,85,30,60,70,30,70,30,40,50,60,50,50,60,85,70,30,70,40,70,70
"410",85,85,85,50,85,85,30,70,50,60,15,50,100,30,100,70,70,100,60,85,70,100,65,70,100,85,100,40,100,100,85,60
"412",85,85,85,30,85,85,0,50,30,50,40,50,70,50,50,50,30,50,15,50,40,40,30,50,70,85,85,50,85,40,85,40
"413",50,50,50,0,100,0,70,70,50,50,85,50,85,50,50,50,60,70,50,50,60,50,60,50,50,85,60,60,70,50,70,50
"418",60,80,70,70,60,85,30,50,60,70,50,70,50,70,30,60,85,70,40,85,70,60,50,40,60,70,60,50,60,50,60,70
"420",50,50,50,0,100,30,0,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,30,50,50,50,50,50,50,50,50
"428",60,50,60,15,100,15,70,50,50,50,50,60,85,85,50,30,40,50,50,85,60,40,40,50,50,85,50,40,70,40,70,40
"429",60,50,60,40,80,50,50,60,70,60,60,60,60,40,50,40,60,50,50,50,50,40,50,50,40,50,50,40,60,40,70,50
"432",50,50,50,0,50,0,100,50,0,15,85,70,50,70,50,15,60,70,70,85,0,50,30,50,30,100,50,50,100,50,85,0
"435",70,70,70,15,70,15,85,15,15,15,85,60,70,50,50,15,30,50,70,85,60,50,30,85,50,70,70,70,85,50,70,15
"440",100,40,60,30,85,85,0,15,15,50,15,50,100,50,60,50,50,50,50,50,70,50,50,50,50,50,50,15,50,50,85,50
"443",85,85,85,70,85,85,0,50,50,85,30,50,100,40,70,85,60,85,40,40,85,70,40,60,85,70,85,0,85,70,85,85
"445",85,85,85,60,85,0,60,15,15,15,40,50,100,50,100,30,85,60,40,100,40,100,30,85,85,100,100,40,100,100,50,85
"446",85,85,85,15,85,15,70,50,15,30,85,70,60,50,40,30,30,85,60,85,60,40,15,60,50,100,60,50,100,40,50,50
"448",50,50,50,20,50,100,5,30,10,85,5,30,50,30,50,50,50,50,50,50,50,50,50,50,50,50,50,30,10,50,50,50
"450",70,85,85,85,85,85,40,50,50,50,50,50,60,0,85,85,60,50,50,50,85,85,50,50,30,50,85,60,70,85,85,60
"451",85,85,85,85,85,100,0,30,50,70,0,40,85,30,100,85,100,100,30,30,100,100,30,30,85,70,100,15,100,100,100,100
"453",60,60,60,0,60,0,70,40,50,30,100,70,50,70,40,15,40,70,70,85,30,70,40,50,30,100,50,70,85,50,50,0
"457",70,70,70,15,70,50,100,50,50,50,85,50,50,70,70,40,85,70,60,70,70,70,50,50,70,70,70,70,70,70,50,70
"468",100,100,100,15,100,30,15,60,60,50,50,50,85,40,70,60,70,100,30,60,85,100,50,60,100,85,100,70,100,100,85,70
"477",100,85,85,70,85,60,15,40,60,60,60,0,70,85,85,85,0,85,40,60,0,85,60,85,85,85,85,70,85,85,85,85
"480",50,50,50,50,50,70,50,50,50,50,50,50,80,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,70,50,50,50
"483",75,85,85,40,100,70,0,50,60,60,40,70,100,60,60,60,40,70,40,50,60,70,60,60,60,70,70,60,85,70,85,70
"484",50,50,50,0,50,0,85,50,50,50,85,50,50,70,60,50,50,70,50,70,50,0,50,50,0,85,85,50,70,0,85,50
"488",100,100,100,85,85,100,0,50,50,100,15,50,85,40,100,85,100,100,70,60,100,100,40,85,100,60,100,30,100,100,100,100
"491",80,70,50,0,85,0,100,50,15,15,100,85,100,60,0,0,70,85,70,100,85,50,70,50,50,100,100,70,100,50,100,0
"494",70,70,100,50,70,85,30,50,50,70,15,50,50,30,60,85,60,85,50,30,50,50,0,50,85,50,70,15,40,50,50,85
"496",100,50,100,50,60,50,50,50,100,40,50,50,100,100,85,100,100,100,30,40,50,85,40,50,85,100,100,40,100,85,100,85
"497",60,70,70,60,70,50,60,60,50,30,70,60,85,50,50,40,60,60,40,70,85,50,70,40,50,85,70,30,85,50,50,50
"498",85,85,85,85,85,60,0,50,50,70,60,70,70,50,60,60,50,85,15,40,40,60,30,30,70,70,60,60,30,50,70,85
"504",50,65,50,40,50,60,30,50,50,70,65,60,75,30,50,40,35,60,60,55,70,50,35,45,50,60,50,40,70,40,100,39
"508",50,50,70,50,70,50,70,60,50,50,85,70,85,50,50,50,50,50,85,50,85,50,85,85,50,70,70,60,70,60,85,70
"509",50,50,50,30,50,40,30,30,15,60,15,50,50,50,50,50,50,50,40,50,40,50,30,50,50,50,50,15,60,50,50,50
"511",60,70,70,40,70,50,85,40,50,50,85,50,70,60,40,40,60,60,60,70,70,50,60,60,60,70,60,60,85,50,60,40
"513",70,70,70,0,85,0,100,50,50,50,85,85,50,70,0,50,40,70,60,70,60,50,40,50,50,100,70,60,85,50,60,0
"514",85,100,85,85,70,85,0,30,40,100,0,40,85,0,85,85,85,85,30,30,60,100,15,50,85,60,85,15,70,100,100,85
"517",50,55,50,15,50,0,60,50,60,50,70,70,40,70,40,40,30,50,40,70,60,50,30,50,30,85,50,60,85,40,70,30
"518",70,60,40,50,70,0,100,15,15,15,100,30,60,60,50,15,85,100,85,70,60,50,40,70,15,100,50,60,100,50,85,0
"522",50,50,50,50,50,70,60,60,50,50,40,50,50,60,60,60,50,60,50,60,70,60,50,50,60,70,60,50,70,70,60,50
"523",60,60,40,60,60,15,15,50,50,50,60,60,50,70,70,70,70,85,60,50,60,60,60,60,40,70,60,30,60,60,85,70
"526",70,70,70,70,70,0,85,60,50,50,85,70,100,60,85,40,40,70,70,85,85,60,70,60,60,100,85,40,85,60,85,100
"527",85,85,85,60,70,70,0,60,50,70,30,70,85,15,100,60,40,70,30,40,50,85,15,40,60,60,70,30,50,85,85,100
"530",50,50,50,0,85,0,85,50,0,70,85,50,0,100,50,0,70,85,70,100,30,0,30,50,0,100,85,85,85,0,30,0
"531",100,100,100,0,100,0,70,30,0,0,100,40,15,50,30,0,40,50,50,100,40,50,0,50,50,100,100,60,100,50,50,0
"532",50,50,50,30,50,15,70,30,15,0,85,50,50,50,50,50,30,50,50,50,40,50,15,50,50,50,50,50,70,50,50,30
"533",50,50,100,50,100,0,100,50,50,50,50,50,50,60,50,50,85,100,60,70,60,0,30,40,30,85,60,40,100,0,85,60
"537",50,50,50,30,50,15,60,50,15,50,85,50,50,85,30,40,40,50,70,85,70,50,60,50,50,85,60,70,85,30,50,15
"539",70,70,70,60,50,70,40,50,50,70,50,60,70,40,50,50,70,50,30,50,60,50,15,50,50,50,50,50,70,50,60,50
"543",70,70,85,30,85,60,40,50,60,50,50,50,50,100,30,50,60,85,50,85,50,50,40,70,30,100,50,50,85,30,85,50
