"","Asian-Americans","Hispanics","Blacks","Illegal Immigrants","Whites","Dem. Pres. Candidate","GOP Pres. Candidate","Libertarian Pres. Candidate","Green Pres. Candidate","Dem. VP","GOP VP","John Roberts","Pope Francis","Christian Fundamentalists","Feminists","Liberals","Labor Unions","Poor People","Big Business","Conservatives","SCOTUS","Gays & Lesbians","Congress","Rich People","Muslims","Christians","Jews","Tea Party","Police","Transgender People","Scientists","BLM"
"3483",90,85,95,75,50,60,15,40,50,0,0,50,85,40,85,70,100,85,50,40,50,100,40,70,85,60,85,50,70,85,100,70
"3485",60,60,70,15,85,70,70,85,100,70,60,70,60,15,100,85,100,100,100,60,60,50,70,85,15,15,85,70,85,50,40,0
"3486",85,85,85,70,85,85,0,50,60,60,15,60,85,15,85,85,85,100,50,0,70,50,30,50,60,85,85,30,85,50,100,85
"3487",100,100,100,85,100,70,50,0,60,70,0,30,100,30,100,70,70,100,70,70,50,100,15,70,100,70,100,0,100,100,100,70
"3491",40,40,40,30,50,0,100,50,50,30,100,50,70,50,50,15,40,60,85,85,60,60,50,85,60,60,85,50,85,40,60,40
"3492",50,50,50,0,50,0,70,40,50,0,70,40,50,50,40,15,40,50,50,50,0,50,30,50,40,50,50,60,60,50,50,40
"3493",74,0,40,0,72,40,0,50,50,50,50,50,85,50,60,78,50,28,50,50,50,70,30,50,50,85,70,50,35,65,60,50
"3495",85,100,85,70,60,85,0,40,70,100,30,70,100,30,100,85,85,100,60,40,85,70,30,60,85,100,85,15,85,70,85,70
"3499",50,50,60,0,50,0,100,30,0,15,100,15,0,100,40,50,40,50,70,100,30,50,15,50,50,100,100,100,100,50,50,0
"3500",50,85,70,60,50,85,0,60,50,85,15,60,50,15,100,85,50,70,60,30,70,100,40,70,85,50,100,15,85,85,100,70
"3501",55,55,55,55,55,50,55,70,65,60,65,60,30,70,70,65,80,85,55,70,65,50,65,50,50,80,50,75,75,50,85,50
"3502",50,50,50,50,50,40,0,15,30,0,0,50,0,100,100,40,100,100,40,40,50,15,0,50,50,100,50,0,100,30,85,100
"3503",92,77,52,14,76,17,32,24,0,15,86,50,16,25,63,40,36,70,39,55,62,50,35,74,0,63,66,70,81,44,85,8
"3504",50,50,50,7,51,92,0,61,31,90,41,51,60,40,51,84,50,51,17,84,84,50,9,50,51,51,86,1,9,51,95,50
"3505",85,85,85,40,60,30,60,50,15,50,70,70,85,60,40,40,60,85,60,40,60,70,40,50,40,100,85,30,70,85,85,60
"3507",70,70,70,40,70,60,0,50,50,50,15,50,100,15,70,85,60,100,60,30,60,85,0,50,85,15,60,0,100,85,85,70
"3508",85,85,85,15,80,90,0,50,50,75,0,60,100,0,100,90,50,65,70,30,85,100,85,30,50,40,85,30,40,100,85,100
"3509",50,70,70,2,69,50,61,51,51,51,62,71,60,41,60,51,52,61,50,59,65,51,61,51,51,61,61,40,71,50,52,43
"3510",70,70,53,60,85,9,78,49,50,4,100,69,25,91,2,1,20,51,21,61,73,2,48,52,1,99,75,55,100,2,75,0
"3511",88,68,71,51,84,100,1,1,49,86,1,51,70,1,17,84,51,85,14,2,51,87,0,51,85,83,83,1,30,87,85,62
"3513",60,60,60,0,60,8,70,30,15,15,77,60,85,52,40,17,15,85,60,90,31,50,15,70,50,95,70,84,93,70,60,15
"3514",90,90,85,61,90,93,1,15,56,56,1,50,99,17,52,51,55,71,17,31,31,85,8,51,66,51,60,15,85,70,93,50
"3518",50,50,50,44,50,74,9,50,49,72,43,71,93,50,50,50,50,50,50,50,85,85,70,50,50,85,84,50,85,50,85,50
"3519",70,87,100,71,21,70,1,30,50,51,0,60,85,0,89,70,17,90,52,8,32,100,9,50,80,31,84,16,51,98,75,51
"3520",85,71,60,40,85,53,42,87,79,50,51,52,91,53,62,85,53,63,54,41,64,94,61,73,85,85,90,71,71,72,96,32
"3522",60,60,60,50,70,31,60,50,50,50,60,50,40,85,15,30,60,70,50,70,50,15,50,50,15,85,60,65,70,23,70,50
"3523",52,50,79,33,50,31,85,49,43,42,100,69,70,52,52,40,85,49,61,53,70,51,69,51,50,81,50,50,88,50,70,17
"3524",85,85,85,60,85,70,0,50,70,50,0,40,0,40,85,85,100,100,30,0,70,50,30,30,50,85,85,30,30,50,85,85
"3525",50,70,90,0,85,0,60,50,50,15,70,50,90,60,55,85,100,100,85,65,85,50,75,60,50,100,100,50,100,50,100,100
"3526",89,79,54,15,100,0,100,60,30,40,100,70,85,50,40,50,100,50,60,50,70,70,50,100,40,60,100,50,100,40,100,40
"3528",70,60,60,15,70,0,50,30,50,30,70,50,85,30,50,30,0,70,30,60,60,100,30,50,30,50,100,60,100,85,85,15
"3529",50,85,100,40,100,70,0,50,50,50,50,50,70,50,60,50,85,70,50,50,85,100,50,50,50,70,100,50,70,50,70,100
"3530",50,50,50,15,50,0,70,30,15,15,85,40,50,60,15,15,40,50,40,85,30,70,30,60,50,100,70,85,85,30,60,15
"3531",50,50,50,0,50,30,40,50,50,50,70,50,70,40,30,30,30,85,40,60,40,60,30,40,50,85,70,30,85,50,100,30
"3536",60,40,30,30,30,85,0,60,60,40,15,15,40,70,0,15,40,85,40,60,60,70,15,40,40,60,30,30,60,60,60,70
"3537",75,75,75,75,75,85,0,40,30,50,30,50,90,30,75,40,35,75,40,30,85,75,10,45,75,75,75,20,65,75,90,80
"3540",98,96,98,98,99,99,17,51,70,72,71,70,86,100,51,71,69,99,70,61,100,84,99,65,70,86,99,86,99,68,72,70
"3541",85,70,60,15,70,0,70,50,15,30,100,50,70,60,70,40,15,70,15,70,70,85,15,70,60,70,70,40,100,85,85,15
"3542",85,84,85,50,100,100,0,30,50,85,0,85,85,0,100,100,60,85,60,40,70,85,40,70,60,100,100,0,85,50,100,85
"3543",90,85,60,30,80,70,15,40,60,75,25,30,75,20,85,85,50,85,60,30,70,80,30,60,70,60,85,10,90,75,100,70
"3545",30,30,33,30,85,31,71,50,52,16,97,61,96,92,73,30,62,51,62,70,34,14,71,71,32,100,70,61,97,15,63,16
"3546",70,85,60,85,60,100,0,50,50,100,0,50,100,50,50,50,70,100,70,50,50,85,50,50,70,85,85,50,100,70,85,50
"3547",85,70,85,30,85,85,0,50,70,60,15,40,100,40,70,70,60,100,60,30,70,70,30,50,50,70,100,15,85,30,85,70
"3548",70,70,70,70,70,100,0,50,100,40,0,60,100,30,100,100,70,85,15,15,60,100,0,15,70,100,100,15,85,100,100,100
"3550",58,97,95,50,50,56,0,58,39,68,1,51,84,95,54,100,98,99,70,32,49,70,15,1,92,98,97,1,38,66,93,100
"3552",70,70,70,40,70,15,70,40,40,50,85,70,50,50,40,0,50,70,60,70,40,50,15,60,40,70,60,50,85,50,70,15
"3554",62,62,63,62,62,86,2,52,52,72,32,62,86,43,87,87,62,62,42,42,62,72,18,62,62,63,72,3,62,52,72,62
"3555",85,85,85,60,85,70,0,40,40,70,15,60,70,15,85,85,85,85,60,30,85,85,30,60,70,85,85,0,70,85,85,85
"3556",51,50,50,1,50,8,7,42,0,0,36,26,24,1,15,38,6,50,10,33,15,51,15,1,3,0,50,32,10,60,71,40
"3557",50,50,50,15,50,0,70,30,0,15,70,100,100,30,30,15,30,50,85,85,70,50,70,50,30,85,50,50,70,40,50,50
"3558",50,50,50,15,50,50,50,50,70,50,50,50,50,70,50,50,60,70,40,70,50,50,50,50,70,85,70,50,100,50,70,50
"3560",50,15,70,0,85,0,100,50,50,50,100,50,70,60,15,30,70,70,50,30,40,15,15,40,0,85,50,30,70,15,60,0
"3562",78,77,69,49,78,47,25,51,51,50,25,71,71,24,71,61,50,70,31,40,61,50,25,50,40,40,50,2,78,50,85,70
"3565",50,50,50,51,50,70,15,50,50,50,60,85,100,85,50,60,70,85,60,85,60,50,70,85,50,100,85,40,85,50,85,40
"3567",51,51,51,85,50,70,0,50,50,61,0,33,55,0,96,85,71,50,1,16,55,100,17,31,85,70,80,0,60,99,100,95
"3568",51,52,51,40,51,70,19,51,49,53,50,50,86,47,73,75,58,50,55,60,40,98,36,66,50,86,99,55,69,80,90,60
"3569",60,60,70,15,85,40,70,62,60,85,70,70,85,85,60,50,40,85,60,70,85,50,60,85,60,100,60,50,100,50,85,70
"3572",50,70,70,40,85,85,15,50,50,70,30,50,85,30,85,60,70,60,30,40,40,85,30,60,40,70,70,15,70,50,85,40
"3574",100,100,100,85,100,85,0,30,40,70,0,40,85,40,85,85,85,100,70,15,60,100,30,85,100,50,100,0,85,100,85,70
"3575",100,85,85,40,85,0,40,50,50,50,85,50,70,100,40,15,50,70,50,85,60,50,40,60,50,100,60,50,85,50,70,15
"3577",70,30,60,15,85,0,100,50,60,50,60,60,70,60,85,50,85,70,60,50,50,85,40,50,50,85,50,50,100,60,70,85
"3578",50,30,15,0,100,0,100,50,50,0,100,0,40,50,30,15,30,50,40,100,30,0,40,50,0,100,50,85,100,0,60,0
"3579",50,50,50,50,50,85,0,0,0,70,0,50,70,0,100,50,40,85,30,0,40,85,0,50,70,70,100,0,50,50,85,50
"3580",100,100,100,50,100,15,70,50,50,50,60,50,70,50,50,30,50,50,50,50,15,50,50,50,50,100,100,50,50,50,50,50
"3581",75,80,80,10,80,0,70,50,40,40,90,70,10,50,55,40,30,95,50,70,65,60,0,50,45,95,90,80,75,40,100,10
"3582",85,60,40,50,70,40,0,60,50,50,50,70,70,40,70,70,50,60,40,40,85,100,60,60,60,70,70,50,85,50,85,40
"3583",62,61,72,63,61,0,30,31,32,15,30,31,17,51,2,41,51,99,32,51,51,42,30,51,51,51,52,42,52,42,51,41
"3588",100,100,100,60,100,86,1,70,76,86,0,78,99,71,100,100,85,100,15,100,87,100,41,100,100,100,100,17,100,100,100,86
"3589",85,50,60,30,70,0,85,30,40,15,100,70,70,50,15,30,40,85,70,70,70,85,50,60,50,85,85,50,100,85,85,0
"3591",70,70,70,60,70,1,70,15,50,1,99,70,70,85,50,15,40,70,60,99,70,50,46,50,41,85,85,100,100,50,50,1
"3592",49,47,50,35,44,41,60,89,61,51,79,55,74,51,17,36,70,72,19,41,50,62,50,33,59,72,60,30,9,65,61,15
"3593",85,70,60,40,85,100,0,50,50,100,0,60,100,40,100,100,85,60,30,0,40,100,0,50,70,70,100,0,85,100,100,40
"3594",100,100,100,60,100,60,60,50,50,60,50,50,75,50,70,85,60,85,70,70,85,85,70,85,85,85,85,70,100,85,85,85
"3598",0,50,50,50,50,0,0,30,0,0,0,0,0,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"3599",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"3600",85,85,85,60,85,40,15,30,70,50,0,50,85,0,30,70,85,70,30,15,70,85,30,50,85,70,85,0,70,85,100,15
"3601",78,73,71,62,84,85,20,53,50,87,39,38,94,9,90,80,72,88,41,40,70,79,37,61,79,69,86,9,68,64,95,67
"3603",50,61,77,31,77,75,0,40,50,70,30,65,60,40,50,65,90,80,30,15,50,90,25,40,60,40,50,15,75,80,90,40
