cases,trade,tradebal,central
0,.44270802,-.0025559999,1
0,.49386701,-.0075889998,1
0,.4905,-.0407,1
1,.6099,-.022299999,1
0,.56484997,-.034049999,1
4,.51980001,-.0458,1
0,.57620001,-.047800001,1
0,.6397,-.048700001,1
0,.70809996,-.0515,1
6,.78490001,-.053100001,1
1,.87020004,-.054400001,1
2,1.0695,-.0559,1
1,1.1800001,-.091399997,1
4,1.3027999,-.1338,1
2,1.4391999,-.1838,1
1,1.4402,-.17380001,1
1,1.4362,-.1688,1
1,1.4421999,-.1538,1
2,1.4434,-.14380001,0
1,.94190001,-.080499999,1
5,.99329996,-.076300003,1
5,1.0930001,-.1006,1
4,1.2865,-.1249,1
1,1.3854001,-.1068,1
1,1.477,-.1266,1
3,1.5624,-.105,1
2,1.7634001,-.094999999,1
0,2.0959001,-.1029,1
3,2.5159001,-.1627,1
6,2.8877001,-.099299997,1
10,3.4047999,-.0482,1
6,4.8045998,.0062000002,1
7,6.5439,.018100001,1
4,7.0700998,-.050700001,1
14,8.0774994,-.062899999,1
9,9.0209999,-.28099999,1
38,10.396099,-.36829999,1
11,13.1883,-.45449999,1
17,15.190901,-.4237,1
17,13.585899,.15710001,1
21,11.97548,.13152,1
19,11.46978,.33902001,1
22,11.45338,.52462,1
14,11.66218,.79501998,1
16,12.99938,1.62062,1
19,16.714981,.51661998,1
26,18.640881,.84751999,1
18,20.648581,.98242003,1
9,24.794682,1.2057199,1
17,24.953979,1.1978199,1
18,26.235479,1.23052,1
43,23.871281,1.5533201,1
13,26.46228,1.58372,1
19,32.732479,1.92792,0
0,1.6076,-.16760001,1
0,2.2213001,-.34810001,1
0,2.7265999,-.55180001,1
1,3.0427999,-.47420001,1
2,3.9598999,-.66829997,1
3,4.0469999,-.76880002,1
1,4.6083002,-.93870002,1
3,3.9912,-.80500001,1
1,4.5078001,-.8348,1
5,5.6341,-.84850001,0
1,6.0032001,-.65240002,0
1,8.0107994,-1.2986,0
1,9.7301998,-1.7998,0
2,11.5296,-2.5406001,0
6,14.0473,-2.9157,0
5,15.0668,-3.0334001,0
5,16.2073,-3.0421,0
7,13.898399,-1.4946001,0
13,16.268101,-1.4833,0
10,20.297199,-1.772,0
6,14.2393,1.5973001,0
0,6.9342999,-.82770002,1
1,9.2781,-1.5503,1
1,9.7607002,-.93889999,1
1,10.224199,-.97140002,1
5,12.2756,-.63459998,1
5,15.0291,-.68809998,1
8,19.3237,-1.0895,1
6,23.5047,-.47729999,1
5,20.484699,-.044500001,1
4,19.6625,-.2665,1
6,18.630699,-.2379,1
9,19.408798,-.71139997,1
8,20.578199,-.38499999,1
8,22.707802,-1.3898,1
9,27.890499,-1.8827,1
16,32.456799,-3.8424001,1
14,34.218399,-4.0784001,1
12,39.620003,-3.2739999,1
14,38.342999,-1.827,1
18,40.032997,-2.3429999,1
12,38.435997,-2.0239999,1
24,42.940002,-1.648,1
20,49.915001,-1.839,0
